applied_row_week,WALCL,WDTGAL,RRPONTSYD,net_liquidity,growth_26w_log,growth_13w_smooth,p_raw,p_applied,p_raw_source_week
2003-02-14,713.281,3.527,2.5,707.2539999999999,,,,,
2003-02-21,730.4,4.407,2.5,723.4929999999999,,,,,2003-02-14
2003-02-28,721.98,4.95,2.5,714.53,,,,,2003-02-21
2003-03-07,722.649,5.501,2.5,714.648,,,,,2003-02-28
2003-03-14,717.014,4.775,2.5,709.739,,,,,2003-03-07
2003-03-21,729.923,3.607,1.25,725.066,,,,,2003-03-14
2003-03-28,725.019,5.927,1.25,717.842,,,,,2003-03-21
2003-04-04,732.452,6.199,1.25,725.003,,,,,2003-03-28
2003-04-11,727.826,6.872,2.25,718.7040000000001,,,,,2003-04-04
2003-04-18,745.838,8.821,2.25,734.7669999999999,,,,,2003-04-11
2003-04-25,732.222,9.285,2.25,720.687,,,,,2003-04-18
2003-05-02,746.294,10.583,2.25,733.461,,,,,2003-04-25
2003-05-09,733.466,6.05,2.25,725.166,,,,,2003-05-02
2003-05-16,740.371,7.199,2.25,730.922,,,,,2003-05-09
2003-05-23,734.699,7.608,2.25,724.841,,,,,2003-05-16
2003-05-30,744.896,4.825,2.25,737.8209999999999,,,,,2003-05-23
2003-06-06,731.667,6.126,1.25,724.291,,,,,2003-05-30
2003-06-13,743.236,6.031,1.25,735.955,,,,,2003-06-06
2003-06-20,735.926,8.086,2.25,725.59,,,,,2003-06-13
2003-06-27,744.018,5.306,3.5,735.212,,,,,2003-06-20
2003-07-04,740.126,5.707,3.5,730.919,,,,,2003-06-27
2003-07-11,744.43,6.356,3.5,734.574,,,,,2003-07-04
2003-07-18,737.765,5.724,3.5,728.5409999999999,,,,,2003-07-11
2003-07-25,745.665,6.058,3.5,736.107,,,,,2003-07-18
2003-08-01,740.295,6.174,3.5,730.621,,,,,2003-07-25
2003-08-08,734.018,6.4,3.5,724.118,,,,,2003-08-01
2003-08-15,735.386,5.72,3.5,726.1659999999999,0.0263887729516643,,,,2003-08-08
2003-08-22,750.825,6.533,3.5,740.792,0.0236290133029044,,,,2003-08-15
2003-08-29,740.637,5.441,3.5,731.6959999999999,0.0237401432614532,,,,2003-08-22
2003-09-05,750.461,4.525,3.5,742.436,0.038146557897152,,,,2003-08-29
2003-09-12,737.234,5.039,3.5,728.695,0.026357966300413,,,,2003-09-05
2003-09-19,743.939,7.247,3.5,733.192,0.0111449196372365,,,,2003-09-12
2003-09-26,741.193,6.837,3.5,730.856,0.0179669607984324,,,,2003-09-19
2003-10-03,753.155,4.922,3.5,744.733,0.0268499721038866,,,,2003-09-26
2003-10-10,737.108,4.935,3.5,728.673,0.0137754816414197,,,,2003-10-03
2003-10-17,754.229,4.857,3.5,745.8720000000001,0.0150005615596506,,,,2003-10-10
2003-10-24,743.578,5.123,3.5,734.9549999999999,0.0196043490996298,,,,2003-10-17
2003-10-31,747.272,5.672,3.5,738.1,0.0063048903406821,,,,2003-10-24
2003-11-07,744.116,4.615,2.75,736.751,0.0158493847660915,0.0203660748969704,,,2003-10-31
2003-11-14,745.604,4.614,2.75,738.24,0.0099622240751707,0.0191024942141633,,,2003-11-07
